Country,Coordinates
Afghanistan,[66.000,33.000]
Aland Islands,[19.916,60.179]
Albania,[20.000,41.000]
Algeria,[3.000,28.000]
American Samoa,[-170.000,-14.333]
Andorra,[1.500,42.500]
Angola,[18.500,-12.500]
Anguilla,[-63.050,18.217]
Antarctica,[135.000,-82.863]
Antigua and Barbuda,[-61.800,17.050]
Argentina,[-64.000,-34.000]
Armenia,[45.000,40.000]
Aruba,[-69.967,12.500]
Australia,[135.000,-25.000]
Austria,[13.333,47.333]
Azerbaidjan,[47.500,40.500]
Bahamas,[-76.000,24.000]
Bahrain,[50.500,26.000]
Bangladesh,[90.000,24.000]
Barbados,[-59.533,13.167]
Belarus,[28.000,53.000]
Belgium,[4.000,50.833]
Belize,[-88.750,17.250]
Benin,[2.250,9.500]
Bermuda,[-64.750,32.333]
Bhutan,[90.500,27.500]
Bolivia,[-65.000,-17.000]
Bosnia-Herzegovina,[17.833,44.250]
Botswana,[24.000,-22.000]
Bouvet Island,[3.400,-54.433]
Brazil,[-55.000,-10.000]
British Indian Ocean Territory,[72.000,-6.000]
Brunei Darussalam,[114.667,4.500]
Bulgaria,[25.000,43.000]
Burkina Faso,[-2.000,13.000]
Burundi,[30.000,-3.500]
Cambodia,[105.000,13.000]
Cameroon,[12.000,6.000]
Canada,[-96.000,60.000]
Cape Verde,[-24.000,16.000]
Cayman Islands,[-80.667,19.500]
Chad,[19.000,15.000]
Chile,[-71.000,-30.000]
China,[105.000,35.000]
Christmas Island,[105.667,-10.500]
Colombia,[-72.000,4.000]
Comoros,[44.250,-12.167]
Cook Islands,[-161.583,-16.083]
Costa Rica,[-84.000,10.000]
Croatia,[15.500,45.167]
Cuba,[-79.500,22.000]
Cyprus,[33.000,35.000]
Czech Republic,[15.000,49.750]
Denmark,[10.000,56.000]
Djibouti,[42.500,11.500]
Dominican Republic,[-70.667,19.000]
Ecuador,[-77.500,-2.000]
Egypt,[30.000,27.000]
El Salvador,[-88.917,13.833]
Eritrea,[39.000,15.000]
Estonia,[26.000,59.000]
Ethiopia,[38.000,8.000]
Falkland Islands,[-59.167,-51.750]
Fiji,[178.000,-18.000]
Finland,[26.000,64.000]
France,[2.000,46.000]
French Guyana,[-53.000,4.000]
Gabon,[11.750,-1.000]
Georgia,[43.500,42.000]
Germany,[10.500,51.500]
Ghana,[-2.000,8.000]
Gibraltar,[-5.350,36.133]
Greece,[21.824,39.074]
Guam,[144.737,13.444]
Guatemala,[-90.250,15.500]
Guinea,[-10.000,11.000]
Guyana,[-59.000,5.000]
Haiti,[-72.417,19.000]
Heard and McDonald Islands,[73.000,-53.000]
Honduras,[-86.500,15.000]
Hong Kong,[114.167,22.250]
Hungary,[20.000,47.000]
I prefer not to say,[,]
Iceland,[-18.000,65.000]
India,[77.000,20.000]
Indonesia,[120.000,-5.000]
Iran,[53.000,32.000]
Iraq,[44.000,33.000]
Ireland,[-8.000,53.000]
Israel,[34.750,31.500]
Italy,[12.833,42.833]
Ivory Coast (Cote D'Ivoire),[-5.547,7.540]
Jamaica,[-77.500,18.250]
Japan,[138.000,36.000]
Jordan,[36.000,31.000]
Kazakhstan,[68.000,48.000]
Kenya,[38.000,1.000]
Kuwait,[47.750,29.500]
Kyrgyzstan,[75.000,41.000]
Laos,[105.000,18.000]
Latvia,[25.000,57.000]
Lebanon,[35.833,33.833]
Lesotho,[28.250,-29.500]
Libya,[17.000,25.000]
Liechtenstein,[9.533,47.167]
Lithuania,[24.000,56.000]
Luxembourg,[6.167,49.750]
Macau,[113.560,22.158]
Macedonia,[22.000,41.833]
Madagascar,[47.000,-20.000]
Malawi,[34.000,-13.500]
Malaysia,[112.500,2.500]
Mali,[-4.000,17.000]
Malta,[14.433,35.917]
Martinique (French),[-61.000,14.667]
Mauritius,[57.583,-20.300]
Mexico,[-102.000,23.000]
Moldavia,[29.000,47.000]
Monaco,[7.400,43.733]
Mongolia,[105.000,46.000]
Montenegro,[19.300,42.500]
Montserrat,[-62.200,16.750]
Morocco,[-5.000,32.000]
Mozambique,[35.000,-18.250]
Myanmar,[95.956,21.916]
Namibia,[17.000,-22.000]
Nepal,[84.000,28.000]
Netherlands,[5.750,52.500]
Netherlands Antilles,[-68.811,12.225]
New Caledonia (French),[165.500,-21.500]
New Zealand,[174.000,-42.000]
Nicaragua,[-85.000,13.000]
Niger,[8.000,16.000]
Nigeria,[8.000,10.000]
North Korea,[127.000,40.000]
Northern Mariana Islands,[146.000,16.000]
Norway,[10.000,62.000]
Oman,[57.000,21.000]
Pakistan,[70.000,30.000]
Panama,[-80.000,9.000]
Paraguay,[-57.996,-22.993]
Peru,[-76.000,-10.000]
Philippines,[122.000,13.000]
Pitcairn Island,[-130.100,-25.067]
Poland,[20.000,52.000]
Polynesia (French),[-148.372,-16.840]
Portugal,[-8.000,39.500]
Puerto Rico,[-66.500,18.248]
